K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	mean_D	sd_D	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.385185	6	6	6	0	6	0	0	0	0	2.31111	2.31111	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	2	2	2	0	2	0	0	0	0	0.711111	0.711111	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.337778	5	5	5	0	5	0	0	0	0	1.68889	1.68889	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	1	1	1	0	1	0	0	0	0	0.533333	0.533333	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	4	4	4	0	4	0	0	0	0	0.8	0.8	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.340741	3	3	3	0	3	0	0	0	0	1.02222	1.02222	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	0	0	0	0	0.555556	0.555556	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.305556	4	4	4	0	4	0	0	0	0	1.22222	1.22222	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.422222	3	3	3	0	3	0	0	0	0	1.26667	1.26667	0	
3	0	3	0	10	0.733333	0.0764199	0.733333	0	0.466667	3	3	3	0	3	0	0	0	0	1.4	1.4	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.355556	10	10	10	0	10	0	0	0	0	3.55556	3.55556	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.5	2	2	2	0	2	0	0	0	0	1	1	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.494444	8	8	8	0	8	0	0	0	0	3.95556	3.95556	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.362963	6	6	6	0	6	0	0	0	0	2.17778	2.17778	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	1	1	1	0	1	0	0	0	0	0.355556	0.355556	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.419753	9	9	9	0	9	0	0	0	0	3.77778	3.77778	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	7	7	7	0	7	0	0	0	0	2.48889	2.48889	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.377778	3	3	3	0	3	0	0	0	0	1.13333	1.13333	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.377778	3	3	3	0	3	0	0	0	0	1.13333	1.13333	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.439506	9	9	9	0	9	0	0	0	0	3.95556	3.95556	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	1	1	1	0	1	0	0	0	0	0.355556	0.355556	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.377778	3	3	3	0	3	0	0	0	0	1.13333	1.13333	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.460317	7	7	7	0	7	0	0	0	0	3.22222	3.22222	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.326984	7	7	7	0	7	0	0	0	0	2.28889	2.28889	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.342222	5	5	5	0	5	0	0	0	0	1.71111	1.71111	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.297778	5	5	5	0	5	0	0	0	0	1.48889	1.48889	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	2	2	2	0	2	0	0	0	0	0.711111	0.711111	0	
3	0	3	0	10	0.733333	0.0764199	0.733333	0	0.5	2	2	2	0	2	0	0	0	0	1	1	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.368889	5	5	5	0	5	0	0	0	0	1.84444	1.84444	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.364444	5	5	5	0	5	0	0	0	0	1.82222	1.82222	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.42963	3	3	3	0	3	0	0	0	0	1.28889	1.28889	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.488889	4	4	4	0	4	0	0	0	0	1.95556	1.95556	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
4	0	4	0	10	0.822222	0.0716163	0.822222	0	0.468376	13	13	13	0	13	0	0	0	0	6.08889	6.08889	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.244444	7	7	7	0	7	0	0	0	0	1.71111	1.71111	0	
