K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.238889	4	4	4	0	4	-1.24468	-1.24468	0	-2.37682	-2.37682	0	0.955556	0.955556	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.418357	23	23	23	0	23	0.869804	0.869804	0	5.40092	5.40092	0	9.62222	9.62222	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.306996	27	27	27	0	27	-0.628495	-0.628495	0	0.439122	0.439122	0	8.28889	8.28889	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
6	0	6	0	10	0.866667	0.0850098	0.866667	0	0.426455	21	21	21	0	21	0.973278	0.973278	0	1.83585	1.83585	0	8.95556	8.95556	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.232836	67	67	67	0	67	-1.67966	-1.67966	0	1.94989	1.94989	0	15.6	15.6	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.315556	10	10	10	0	10	-0.475613	-0.475613	0	1.67721	1.67721	0	3.15556	3.15556	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.296296	36	36	36	0	36	-0.782543	-0.782543	0	-1.47641	-1.47641	0	10.6667	10.6667	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.492016	135	135	135	0	135	1.94873	1.94873	0	1.97441	1.97441	0	66.4222	66.4222	0	
6	0	6	0	10	0.866667	0.0850098	0.866667	0	0.366667	14	14	14	0	14	0.170779	0.170779	0	0.450438	0.450438	0	5.13333	5.13333	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.378836	21	21	21	0	21	0.338126	0.338126	0	-0.824177	-0.824177	0	7.95556	7.95556	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.257364	43	43	43	0	43	-1.32319	-1.32319	0	-1.39163	-1.39163	0	11.0667	11.0667	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.336889	50	50	50	0	50	-0.229471	-0.229471	0	0.810216	0.810216	0	16.8444	16.8444	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.388889	6	6	6	0	6	0.414338	0.414338	0	2.38099	2.38099	0	2.33333	2.33333	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.439766	38	38	38	0	38	1.18289	1.18289	0	0.793336	0.793336	0	16.7111	16.7111	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.445062	72	72	72	0	72	1.27671	1.27671	0	2.21231	2.21231	0	32.0444	32.0444	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.237037	18	18	18	0	18	-1.53797	-1.53797	0	0.0157754	0.0157754	0	4.26667	4.26667	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.511891	57	57	57	0	57	2.19742	2.19742	0	8.09009	8.09009	0	29.1778	29.1778	0	
6	0	6	0	10	0.911111	0.0620394	0.911111	0	0.407143	28	28	28	0	28	0.726629	0.726629	0	2.50428	2.50428	0	11.4	11.4	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.393778	25	25	25	0	25	0.542637	0.542637	0	-0.342602	-0.342602	0	9.84444	9.84444	0	
8	0	8	0	10	0.933333	0.0772873	0.933333	0	0.353086	18	18	18	0	18	-0.00527422	-0.00527422	0	-1.36302	-1.36302	0	6.35556	6.35556	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.42963	12	12	12	0	12	0.972939	0.972939	0	1.64905	1.64905	0	5.15556	5.15556	0	
8	0	8	0	10	0.933333	0.0772873	0.933333	0	0.364251	23	23	23	0	23	0.144344	0.144344	0	-0.705048	-0.705048	0	8.37778	8.37778	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.368022	41	41	41	0	41	0.199796	0.199796	0	-0.722918	-0.722918	0	15.0889	15.0889	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.365432	36	36	36	0	36	0.163466	0.163466	0	-1.00951	-1.00951	0	13.1556	13.1556	0	
8	0	8	0	10	0.933333	0.0772873	0.933333	0	0.262551	27	27	27	0	27	-1.22934	-1.22934	0	-1.0962	-1.0962	0	7.08889	7.08889	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.356725	38	38	38	0	38	0.0444114	0.0444114	0	-0.945773	-0.945773	0	13.5556	13.5556	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.323297	62	62	62	0	62	-0.419584	-0.419584	0	2.60349	2.60349	0	20.0444	20.0444	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.426911	109	109	109	0	109	1.03035	1.03035	0	1.34915	1.34915	0	46.5333	46.5333	0	
7	0	7	0	10	0.866667	0.107207	0.866667	0	0.38125	32	32	32	0	32	0.378177	0.378177	0	1.34425	1.34425	0	12.2	12.2	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.340523	34	34	34	0	34	-0.176994	-0.176994	0	0.0111468	0.0111468	0	11.5778	11.5778	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.394004	63	63	63	0	63	0.563349	0.563349	0	0.232906	0.232906	0	24.8222	24.8222	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.331481	24	24	24	0	24	-0.295715	-0.295715	0	-2.20315	-2.20315	0	7.95556	7.95556	0	
6	0	6	0	10	0.866667	0.0850098	0.866667	0	0.388889	16	16	16	0	16	0.463632	0.463632	0	0.911395	0.911395	0	6.22222	6.22222	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.386243	21	21	21	0	21	0.436927	0.436927	0	1.57567	1.57567	0	8.11111	8.11111	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.385965	38	38	38	0	38	0.445284	0.445284	0	1.79493	1.79493	0	14.6667	14.6667	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.281778	25	25	25	0	25	-0.965735	-0.965735	0	-1.1113	-1.1113	0	7.04444	7.04444	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.329012	36	36	36	0	36	-0.334878	-0.334878	0	-1.23849	-1.23849	0	11.8444	11.8444	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.405128	13	13	13	0	13	0.664796	0.664796	0	1.70566	1.70566	0	5.26667	5.26667	0	
6	0	6	0	10	0.911111	0.0620394	0.911111	0	0.380741	15	15	15	0	15	0.35514	0.35514	0	0.704399	0.704399	0	5.71111	5.71111	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.411966	78	78	78	0	78	0.816499	0.816499	0	0.697254	0.697254	0	32.1333	32.1333	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.34686	23	23	23	0	23	-0.0888399	-0.0888399	0	-2.19576	-2.19576	0	7.97778	7.97778	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.325432	45	45	45	0	45	-0.386717	-0.386717	0	-0.784315	-0.784315	0	14.6444	14.6444	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.35303	44	44	44	0	44	-0.00627421	-0.00627421	0	1.93906	1.93906	0	15.5333	15.5333	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.319897	43	43	43	0	43	-0.462382	-0.462382	0	-0.914845	-0.914845	0	13.7556	13.7556	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.4	11	11	11	0	11	0.589222	0.589222	0	0.0878456	0.0878456	0	4.4	4.4	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.396049	45	45	45	0	45	0.586735	0.586735	0	0.930182	0.930182	0	17.8222	17.8222	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.264889	50	50	50	0	50	-1.22495	-1.22495	0	0.299395	0.299395	0	13.2444	13.2444	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.442042	37	37	37	0	37	1.21295	1.21295	0	0.747672	0.747672	0	16.3556	16.3556	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.454264	43	43	43	0	43	1.38729	1.38729	0	-0.213879	-0.213879	0	19.5333	19.5333	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.359365	35	35	35	0	35	0.0803645	0.0803645	0	1.41777	1.41777	0	12.5778	12.5778	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.372222	8	8	8	0	8	0.228683	0.228683	0	0.305279	0.305279	0	2.97778	2.97778	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.446122	53	53	53	0	53	1.28276	1.28276	0	0.143775	0.143775	0	23.6444	23.6444	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.251462	19	19	19	0	19	-1.35233	-1.35233	0	-2.11372	-2.11372	0	4.77778	4.77778	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.372593	60	60	60	0	60	0.26537	0.26537	0	1.41603	1.41603	0	22.3556	22.3556	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.364444	10	10	10	0	10	0.137413	0.137413	0	2.05934	2.05934	0	3.64444	3.64444	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
10	0	10	0	10	1	0.0447214	1	0	0.305376	31	31	31	0	31	-0.654435	-0.654435	0	-3.64323	-3.64323	0	9.46667	9.46667	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.30117	38	38	38	0	38	-0.717247	-0.717247	0	-1.31543	-1.31543	0	11.4444	11.4444	0	
6	0	6	0	10	0.911111	0.0620394	0.911111	0	0.406222	25	25	25	0	25	0.710234	0.710234	0	2.17764	2.17764	0	10.1556	10.1556	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.338889	32	32	32	0	32	-0.198824	-0.198824	0	1.06386	1.06386	0	10.8444	10.8444	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.397531	9	9	9	0	9	0.545604	0.545604	0	0.73532	0.73532	0	3.57778	3.57778	0	
10	0	10	0	10	1	0.0447214	1	0	0.351042	64	64	64	0	64	-0.0339936	-0.0339936	0	-1.58132	-1.58132	0	22.4667	22.4667	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.332026	17	17	17	0	17	-0.28229	-0.28229	0	0.676264	0.676264	0	5.64444	5.64444	0	
