K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.522222	8	8	8	0	8	2.05947	2.05947	0	2.44443	2.44443	0	4.17778	4.17778	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.454701	13	13	13	0	13	1.30295	1.30295	0	0.787165	0.787165	0	5.91111	5.91111	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	6	6	6	0	6	0.0242237	0.0242237	0	4.1923	4.1923	0	2.13333	2.13333	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	2	2	2	0	2	0.120301	0.120301	0	-0.100592	-0.100592	0	0.733333	0.733333	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.260317	7	7	7	0	7	-1.11638	-1.11638	0	0.387679	0.387679	0	1.82222	1.82222	0	
4	0	4	0	10	0.8	0.0888444	0.8	0	0.462222	5	5	5	0	5	1.23347	1.23347	0	0.919651	0.919651	0	2.31111	2.31111	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	0.586219	0.586219	0	0.4	0.4	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.404444	5	5	5	0	5	0.57806	0.57806	0	-0.57702	-0.57702	0	2.02222	2.02222	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.411111	6	6	6	0	6	0.674414	0.674414	0	1.07152	1.07152	0	2.46667	2.46667	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	-1.34464	-1.34464	0	0.8	0.8	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.32	5	5	5	0	5	-0.379852	-0.379852	0	-1.11562	-1.11562	0	1.6	1.6	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	-1.1758	-1.1758	0	0.866667	0.866667	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.438889	4	4	4	0	4	0.927592	0.927592	0	1.66715	1.66715	0	1.75556	1.75556	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.392593	3	3	3	0	3	0.398039	0.398039	0	0.800101	0.800101	0	1.17778	1.17778	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	-1.34464	-1.34464	0	0.8	0.8	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.303704	6	6	6	0	6	-0.582621	-0.582621	0	0.387679	0.387679	0	1.82222	1.82222	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.251852	3	3	3	0	3	-1.03446	-1.03446	0	-1.46598	-1.46598	0	0.755556	0.755556	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	5	5	5	0	5	-1.7411	-1.7411	0	0.477271	0.477271	0	1	1	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	5	5	5	0	5	-1.7411	-1.7411	0	0.477271	0.477271	0	1	1	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.407407	3	3	3	0	3	0.548828	0.548828	0	-0.458546	-0.458546	0	1.22222	1.22222	0	
4	0	4	0	10	0.8	0.0758947	0.8	0	0.4	3	3	3	0	3	0.473434	0.473434	0	-0.496767	-0.496767	0	1.2	1.2	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.488889	3	3	3	0	3	1.37817	1.37817	0	1.26028	1.26028	0	1.46667	1.46667	0	
4	0	4	0	10	0.8	0.0758947	0.8	0	0.373333	5	5	5	0	5	0.225145	0.225145	0	0.44029	0.44029	0	1.86667	1.86667	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.32963	6	6	6	0	6	-0.279198	-0.279198	0	0.567615	0.567615	0	1.97778	1.97778	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.459259	6	6	6	0	6	1.23791	1.23791	0	0.126975	0.126975	0	2.75556	2.75556	0	
4	0	4	0	10	0.822222	0.0716163	0.822222	0	0.459259	6	6	6	0	6	1.23791	1.23791	0	1.33722	1.33722	0	2.75556	2.75556	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.294444	8	8	8	0	8	-0.720612	-0.720612	0	0.963749	0.963749	0	2.35556	2.35556	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.320988	9	9	9	0	9	-0.402567	-0.402567	0	0.235427	0.235427	0	2.88889	2.88889	0	
4	0	4	0	10	0.8	0.0758947	0.8	0	0.413333	10	10	10	0	10	0.750438	0.750438	0	2.41341	2.41341	0	4.13333	4.13333	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.336111	8	8	8	0	8	-0.212061	-0.212061	0	2.77528	2.77528	0	2.68889	2.68889	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.466667	4	4	4	0	4	1.2293	1.2293	0	1.81329	1.81329	0	1.86667	1.86667	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.367677	11	11	11	0	11	0.179766	0.179766	0	-1.25823	-1.25823	0	4.04444	4.04444	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.32	10	10	10	0	10	-0.419883	-0.419883	0	0.472317	0.472317	0	3.2	3.2	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.435185	12	12	12	0	12	1.04393	1.04393	0	0.491095	0.491095	0	5.22222	5.22222	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.36	5	5	5	0	5	0.0738955	0.0738955	0	-0.843184	-0.843184	0	1.8	1.8	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.344444	4	4	4	0	4	-0.0982008	-0.0982008	0	-0.208243	-0.208243	0	1.37778	1.37778	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	1	1	1	0	1	0.819796	0.819796	0	0.818008	0.818008	0	0.466667	0.466667	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.477778	6	6	6	0	6	1.45464	1.45464	0	2.96274	2.96274	0	2.86667	2.86667	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.438095	7	7	7	0	7	1.01382	1.01382	0	1.60405	1.60405	0	3.06667	3.06667	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.302222	5	5	5	0	5	-0.581518	-0.581518	0	-1.24939	-1.24939	0	1.51111	1.51111	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.225926	6	6	6	0	6	-1.49289	-1.49289	0	-2.92289	-2.92289	0	1.35556	1.35556	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.364444	5	5	5	0	5	0.124312	0.124312	0	0.387679	0.387679	0	1.82222	1.82222	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.302778	8	8	8	0	8	-0.618902	-0.618902	0	1.02882	1.02882	0	2.42222	2.42222	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	5	5	5	0	5	-1.7411	-1.7411	0	0.477271	0.477271	0	1	1	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.303704	6	6	6	0	6	-0.582621	-0.582621	0	-0.815009	-0.815009	0	1.82222	1.82222	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.303704	3	3	3	0	3	-0.506695	-0.506695	0	-1.07085	-1.07085	0	0.911111	0.911111	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.266667	7	7	7	0	7	-1.0403	-1.0403	0	-0.759769	-0.759769	0	1.86667	1.86667	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.422222	9	9	9	0	9	0.851466	0.851466	0	0.879863	0.879863	0	3.8	3.8	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.303704	3	3	3	0	3	-0.506695	-0.506695	0	-1.07085	-1.07085	0	0.911111	0.911111	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.337037	6	6	6	0	6	-0.192506	-0.192506	0	-3.23766	-3.23766	0	2.02222	2.02222	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.293333	5	5	5	0	5	-0.682351	-0.682351	0	1.26028	1.26028	0	1.46667	1.46667	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.340741	3	3	3	0	3	-0.129722	-0.129722	0	-0.83052	-0.83052	0	1.02222	1.02222	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.466667	5	5	5	0	5	1.28389	1.28389	0	2.38099	2.38099	0	2.33333	2.33333	0	
4	0	4	0	10	0.822222	0.0716163	0.822222	0	0.483333	4	4	4	0	4	1.41032	1.41032	0	0.517373	0.517373	0	1.93333	1.93333	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	3	3	3	0	3	-1.56222	-1.56222	0	-1.96374	-1.96374	0	0.6	0.6	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	0.586219	0.586219	0	0.4	0.4	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.411111	2	2	2	0	2	0.525941	0.525941	0	0.108362	0.108362	0	0.822222	0.822222	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.514074	15	15	15	0	15	2.09251	2.09251	0	6.75903	6.75903	0	7.71111	7.71111	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.488889	3	3	3	0	3	1.37817	1.37817	0	1.26028	1.26028	0	1.46667	1.46667	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.451852	3	3	3	0	3	1.0012	1.0012	0	-0.242321	-0.242321	0	1.35556	1.35556	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.37037	6	6	6	0	6	0.197608	0.197608	0	-1.55869	-1.55869	0	2.22222	2.22222	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.55	4	4	4	0	4	2.13441	2.13441	0	2.22538	2.22538	0	2.2	2.2	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.377778	2	2	2	0	2	0.221711	0.221711	0	-0.0464656	-0.0464656	0	0.755556	0.755556	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.457143	7	7	7	0	7	1.24206	1.24206	0	3.29954	3.29954	0	3.2	3.2	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	2	2	2	0	2	0.120301	0.120301	0	-0.100592	-0.100592	0	0.733333	0.733333	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.44	5	5	5	0	5	0.981391	0.981391	0	2.22538	2.22538	0	2.2	2.2	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.328889	5	5	5	0	5	-0.279019	-0.279019	0	-1.05189	-1.05189	0	1.64444	1.64444	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.315556	5	5	5	0	5	-0.430269	-0.430269	0	-1.14825	-1.14825	0	1.57778	1.57778	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.386111	8	8	8	0	8	0.3982	0.3982	0	0.390084	0.390084	0	3.08889	3.08889	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.444444	5	5	5	0	5	1.03181	1.03181	0	2.25165	2.25165	0	2.22222	2.22222	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.2	5	5	5	0	5	-1.7411	-1.7411	0	-3.87698	-3.87698	0	1	1	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	5	5	5	0	5	-1.7411	-1.7411	0	-0.876332	-0.876332	0	1	1	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.277778	6	6	6	0	6	-0.886043	-0.886043	0	-1.02075	-1.02075	0	1.66667	1.66667	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.360234	19	19	19	0	19	0.0894471	0.0894471	0	-0.00131015	-0.00131015	0	6.84444	6.84444	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.238889	4	4	4	0	4	-1.24468	-1.24468	0	-0.971216	-0.971216	0	0.955556	0.955556	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.330864	9	9	9	0	9	-0.280222	-0.280222	0	-2.07058	-2.07058	0	2.97778	2.97778	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.228283	11	11	11	0	11	-1.58602	-1.58602	0	-0.0849915	-0.0849915	0	2.51111	2.51111	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.241667	8	8	8	0	8	-1.36478	-1.36478	0	-0.679525	-0.679525	0	1.93333	1.93333	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.324444	5	5	5	0	5	-0.329436	-0.329436	0	-1.08351	-1.08351	0	1.62222	1.62222	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.2	9	9	9	0	9	-1.90129	-1.90129	0	-0.843184	-0.843184	0	1.8	1.8	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.247619	14	14	14	0	14	-1.37167	-1.37167	0	3.55687	3.55687	0	3.46667	3.46667	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.406349	7	7	7	0	7	0.63343	0.63343	0	0.199785	0.199785	0	2.84444	2.84444	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.366667	4	4	4	0	4	0.143162	0.143162	0	-0.0767804	-0.0767804	0	1.46667	1.46667	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.27037	6	6	6	0	6	-0.972735	-0.972735	0	-2.40264	-2.40264	0	1.62222	1.62222	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.371429	7	7	7	0	7	0.214998	0.214998	0	-1.16409	-1.16409	0	2.6	2.6	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	-1.16394	-1.16394	0	0.4	0.4	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	3	3	3	0	3	-1.56222	-1.56222	0	-1.96374	-1.96374	0	0.6	0.6	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.497778	5	5	5	0	5	1.6368	1.6368	0	2.55694	2.55694	0	2.48889	2.48889	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	3	3	3	0	3	-1.56222	-1.56222	0	-0.458608	-0.458608	0	0.6	0.6	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.422222	8	8	8	0	8	0.838944	0.838944	0	0.59906	0.59906	0	3.37778	3.37778	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.551111	5	5	5	0	5	2.2418	2.2418	0	2.84627	2.84627	0	2.75556	2.75556	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.436111	8	8	8	0	8	1.00846	1.00846	0	1.94116	1.94116	0	3.48889	3.48889	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.359596	11	11	11	0	11	0.0774013	0.0774013	0	-0.161516	-0.161516	0	3.95556	3.95556	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.277778	4	4	4	0	4	-0.82229	-0.82229	0	-1.99329	-1.99329	0	1.11111	1.11111	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.231111	5	5	5	0	5	-1.38818	-1.38818	0	0.761719	0.761719	0	1.15556	1.15556	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	2	2	2	0	2	1.03299	1.03299	0	2.05186	2.05186	0	0.933333	0.933333	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.366667	4	4	4	0	4	0.143162	0.143162	0	-0.0767804	-0.0767804	0	1.46667	1.46667	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.333333	2	2	2	0	2	-0.183929	-0.183929	0	-0.27178	-0.27178	0	0.666667	0.666667	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.262222	5	5	5	0	5	-1.03527	-1.03527	0	-1.58724	-1.58724	0	1.31111	1.31111	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.402222	10	10	10	0	10	0.611114	0.611114	0	-0.122365	-0.122365	0	4.02222	4.02222	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.37284	9	9	9	0	9	0.239742	0.239742	0	0.583521	0.583521	0	3.35556	3.35556	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.288889	7	7	7	0	7	-0.774025	-0.774025	0	-0.57702	-0.57702	0	2.02222	2.02222	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.303704	3	3	3	0	3	-0.506695	-0.506695	0	0.299793	0.299793	0	0.911111	0.911111	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
4	0	4	0	10	0.8	0.0888444	0.8	0	0.4	4	4	4	0	4	0.505207	0.505207	0	0.107641	0.107641	0	1.6	1.6	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.333333	7	7	7	0	7	-0.241474	-0.241474	0	2.38099	2.38099	0	2.33333	2.33333	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.362963	6	6	6	0	6	0.110916	0.110916	0	0.783627	0.783627	0	2.17778	2.17778	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.288889	4	4	4	0	4	-0.701608	-0.701608	0	-0.575329	-0.575329	0	1.15556	1.15556	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.34321	9	9	9	0	9	-0.127291	-0.127291	0	-1.96882	-1.96882	0	3.08889	3.08889	0	
2	0	2	0	10	0.555556	0.0745356	0.555556	0	0.555556	2	2	2	0	2	1.84427	1.84427	0	2.42917	2.42917	0	1.11111	1.11111	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.340741	9	9	9	0	9	-0.157878	-0.157878	0	0.373336	0.373336	0	3.06667	3.06667	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.251852	3	3	3	0	3	-1.03446	-1.03446	0	-1.46598	-1.46598	0	0.755556	0.755556	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.344444	4	4	4	0	4	-0.0982008	-0.0982008	0	-0.208243	-0.208243	0	1.37778	1.37778	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.277778	6	6	6	0	6	-0.886043	-0.886043	0	0.194901	0.194901	0	1.66667	1.66667	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.496296	3	3	3	0	3	1.45356	1.45356	0	1.29319	1.29319	0	1.48889	1.48889	0	
