K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.221773	99	99	99	0	99	-1.84589	-1.84589	0	2.85122	2.85122	0	21.9556	21.9556	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.391053	77	77	77	0	77	0.524399	0.524399	0	3.75558	3.75558	0	30.1111	30.1111	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.377236	41	41	41	0	41	0.326444	0.326444	0	-0.672565	-0.672565	0	15.4667	15.4667	0	
10	0	10	0	10	1	0.0447214	1	0	0.344856	27	27	27	0	27	-0.116666	-0.116666	0	-3.69296	-3.69296	0	9.31111	9.31111	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.288254	35	35	35	0	35	-0.891654	-0.891654	0	-1.60718	-1.60718	0	10.0889	10.0889	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.441394	51	51	51	0	51	1.21608	1.21608	0	2.9202	2.9202	0	22.5111	22.5111	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.384127	7	7	7	0	7	0.367155	0.367155	0	0.0709544	0.0709544	0	2.68889	2.68889	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.384921	56	56	56	0	56	0.435885	0.435885	0	2.80074	2.80074	0	21.5556	21.5556	0	
7	0	7	0	10	0.866667	0.107207	0.866667	0	0.364444	40	40	40	0	40	0.150505	0.150505	0	1.77977	1.77977	0	14.5778	14.5778	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.282051	39	39	39	0	39	-0.980233	-0.980233	0	2.40202	2.40202	0	11	11	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.311111	18	18	18	0	18	-0.559653	-0.559653	0	-1.68556	-1.68556	0	5.6	5.6	0	
8	0	8	0	10	0.933333	0.0772873	0.933333	0	0.478788	55	55	55	0	55	1.73671	1.73671	0	1.77363	1.77363	0	26.3333	26.3333	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.42716	9	9	9	0	9	0.912638	0.912638	0	2.20719	2.20719	0	3.84444	3.84444	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.331723	69	69	69	0	69	-0.303155	-0.303155	0	1.46711	1.46711	0	22.8889	22.8889	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.2	6	6	6	0	6	-1.79631	-1.79631	0	-3.29389	-3.29389	0	1.2	1.2	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.429851	67	67	67	0	67	1.06313	1.06313	0	5.6148	5.6148	0	28.8	28.8	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.297436	39	39	39	0	39	-0.769123	-0.769123	0	1.22354	1.22354	0	11.6	11.6	0	
10	0	10	0	10	1	0.0447214	1	0	0.311584	47	47	47	0	47	-0.578346	-0.578346	0	-2.48458	-2.48458	0	14.6444	14.6444	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.364444	5	5	5	0	5	0.124312	0.124312	0	0.387679	0.387679	0	1.82222	1.82222	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.422222	38	38	38	0	38	0.942366	0.942366	0	0.706907	0.706907	0	16.0444	16.0444	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.259041	102	102	102	0	102	-1.32414	-1.32414	0	0.346529	0.346529	0	26.4222	26.4222	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.386667	70	70	70	0	70	0.462341	0.462341	0	0.390114	0.390114	0	27.0667	27.0667	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.377778	23	23	23	0	23	0.325709	0.325709	0	0.547712	0.547712	0	8.68889	8.68889	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.46	30	30	30	0	30	1.44689	1.44689	0	3.07269	3.07269	0	13.8	13.8	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.445894	46	46	46	0	46	1.27466	1.27466	0	4.37282	4.37282	0	20.5111	20.5111	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.41627	56	56	56	0	56	0.870581	0.870581	0	1.5068	1.5068	0	23.3111	23.3111	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.452632	19	19	19	0	19	1.31418	1.31418	0	1.72852	1.72852	0	8.6	8.6	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.347059	34	34	34	0	34	-0.0877528	-0.0877528	0	-1.24686	-1.24686	0	11.8	11.8	0	
10	0	10	0	10	1	0.0447214	1	0	0.474959	67	67	67	0	67	1.69111	1.69111	0	-0.969708	-0.969708	0	31.8222	31.8222	0	
8	0	8	0	10	0.933333	0.0772873	0.933333	0	0.399177	54	54	54	0	54	0.632999	0.632999	0	1.33732	1.33732	0	21.5556	21.5556	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.376577	74	74	74	0	74	0.322087	0.322087	0	0.442631	0.442631	0	27.8667	27.8667	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.371181	64	64	64	0	64	0.246107	0.246107	0	1.54789	1.54789	0	23.7556	23.7556	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.206838	39	39	39	0	39	-2.01232	-2.01232	0	0.376598	0.376598	0	8.06667	8.06667	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.311111	63	63	63	0	63	-0.589167	-0.589167	0	1.13306	1.13306	0	19.6	19.6	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.379167	32	32	32	0	32	0.3498	0.3498	0	1.33109	1.33109	0	12.1333	12.1333	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.414493	46	46	46	0	46	0.84152	0.84152	0	2.46986	2.46986	0	19.0667	19.0667	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.509722	32	32	32	0	32	2.1281	2.1281	0	5.49472	5.49472	0	16.3111	16.3111	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.335043	13	13	13	0	13	-0.237418	-0.237418	0	-2.37683	-2.37683	0	4.35556	4.35556	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.326316	19	19	19	0	19	-0.360139	-0.360139	0	0.902693	0.902693	0	6.2	6.2	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.295425	68	68	68	0	68	-0.808553	-0.808553	0	-0.160517	-0.160517	0	20.0889	20.0889	0	
6	0	6	0	10	0.911111	0.0620394	0.911111	0	0.347737	54	54	54	0	54	-0.0796477	-0.0796477	0	4.06882	4.06882	0	18.7778	18.7778	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.442063	56	56	56	0	56	1.22824	1.22824	0	5.04709	5.04709	0	24.7556	24.7556	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.431211	89	89	89	0	89	1.08757	1.08757	0	1.01098	1.01098	0	38.3778	38.3778	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.439057	66	66	66	0	66	1.19094	1.19094	0	1.98599	1.98599	0	28.9778	28.9778	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.25614	76	76	76	0	76	-1.35851	-1.35851	0	-0.220407	-0.220407	0	19.4667	19.4667	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.428019	23	23	23	0	23	0.99935	0.99935	0	0.837077	0.837077	0	9.84444	9.84444	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.424074	24	24	24	0	24	0.948635	0.948635	0	0.91483	0.91483	0	10.1778	10.1778	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	7	7	7	0	7	-1.83913	-1.83913	0	1.15966	1.15966	0	1.4	1.4	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.38373	56	56	56	0	56	0.419377	0.419377	0	4.53642	4.53642	0	21.4889	21.4889	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.373333	20	20	20	0	20	0.263943	0.263943	0	0.198922	0.198922	0	7.46667	7.46667	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.249123	19	19	19	0	19	-1.38334	-1.38334	0	2.81808	2.81808	0	4.73333	4.73333	0	
8	0	8	0	10	0.933333	0.0772873	0.933333	0	0.313492	28	28	28	0	28	-0.541598	-0.541598	0	-0.598924	-0.598924	0	8.77778	8.77778	0	
7	0	7	0	10	0.866667	0.107207	0.866667	0	0.326437	29	29	29	0	29	-0.366885	-0.366885	0	0.74606	0.74606	0	9.46667	9.46667	0	
