K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	0.0579335	0.0579335	0	0.8	0.8	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.476543	9	9	9	0	9	1.52436	1.52436	0	2.5212	2.5212	0	4.28889	4.28889	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.368889	5	5	5	0	5	0.174728	0.174728	0	-0.787208	-0.787208	0	1.84444	1.84444	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.497778	5	5	5	0	5	1.6368	1.6368	0	2.55694	2.55694	0	2.48889	2.48889	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.366667	10	10	10	0	10	0.165277	0.165277	0	0.79395	0.79395	0	3.66667	3.66667	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.246914	9	9	9	0	9	-1.32015	-1.32015	0	-1.55869	-1.55869	0	2.22222	2.22222	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.407407	3	3	3	0	3	0.548828	0.548828	0	-0.458546	-0.458546	0	1.22222	1.22222	0	
3	0	3	0	10	0.733333	0.0764199	0.733333	0	0.488889	3	3	3	0	3	1.37817	1.37817	0	1.26028	1.26028	0	1.46667	1.46667	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.255556	6	6	6	0	6	-1.14612	-1.14612	0	0.0171927	0.0171927	0	1.53333	1.53333	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.361111	8	8	8	0	8	0.0930691	0.0930691	0	0.235427	0.235427	0	2.88889	2.88889	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.305051	11	11	11	0	11	-0.613557	-0.613557	0	-1.74369	-1.74369	0	3.35556	3.35556	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.466667	5	5	5	0	5	1.28389	1.28389	0	2.38099	2.38099	0	2.33333	2.33333	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.262222	5	5	5	0	5	-1.03527	-1.03527	0	-1.58724	-1.58724	0	1.31111	1.31111	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.37037	9	9	9	0	9	0.209156	0.209156	0	0.567899	0.567899	0	3.33333	3.33333	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.493333	5	5	5	0	5	1.58639	1.58639	0	2.53215	2.53215	0	2.46667	2.46667	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.384795	19	19	19	0	19	0.41501	0.41501	0	-1.02248	-1.02248	0	7.31111	7.31111	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.366667	4	4	4	0	4	0.143162	0.143162	0	-1.31974	-1.31974	0	1.46667	1.46667	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.444444	6	6	6	0	6	1.06453	1.06453	0	1.2575	1.2575	0	2.66667	2.66667	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.281481	6	6	6	0	6	-0.842697	-0.842697	0	0.223331	0.223331	0	1.68889	1.68889	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.233333	8	8	8	0	8	-1.46649	-1.46649	0	-0.759769	-0.759769	0	1.86667	1.86667	0	
6	0	6	0	10	0.866667	0.0850098	0.866667	0	0.366667	6	6	6	0	6	0.154262	0.154262	0	-1.58448	-1.58448	0	2.2	2.2	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.271605	9	9	9	0	9	-1.01429	-1.01429	0	-0.146182	-0.146182	0	2.44444	2.44444	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.355556	6	6	6	0	6	0.0242237	0.0242237	0	0.736945	0.736945	0	2.13333	2.13333	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	-1.16394	-1.16394	0	0.4	0.4	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.2	5	5	5	0	5	-1.7411	-1.7411	0	-2.25975	-2.25975	0	1	1	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.48	5	5	5	0	5	1.43514	1.43514	0	1.00727	1.00727	0	2.4	2.4	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.318519	3	3	3	0	3	-0.355906	-0.355906	0	-0.971216	-0.971216	0	0.955556	0.955556	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	8	8	8	0	8	0.160876	0.160876	0	3.03157	3.03157	0	2.93333	2.93333	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.324444	5	5	5	0	5	-0.329436	-0.329436	0	1.48469	1.48469	0	1.62222	1.62222	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	0.586219	0.586219	0	0.4	0.4	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	2	2	2	0	2	1.64145	1.64145	0	2.33782	2.33782	0	1.06667	1.06667	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.533333	2	2	2	0	2	1.64145	1.64145	0	0.602811	0.602811	0	1.06667	1.06667	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	4	0	10	0.8	0.0758947	0.8	0	0.390476	7	7	7	0	7	0.443234	0.443234	0	1.31745	1.31745	0	2.73333	2.73333	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.355556	6	6	6	0	6	0.0242237	0.0242237	0	2.14576	2.14576	0	2.13333	2.13333	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.380952	14	14	14	0	14	0.355873	0.355873	0	5.13463	5.13463	0	5.33333	5.33333	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.44127	7	7	7	0	7	1.05186	1.05186	0	1.62246	1.62246	0	3.08889	3.08889	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.319192	11	11	11	0	11	-0.43442	-0.43442	0	-0.44153	-0.44153	0	3.51111	3.51111	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.238889	4	4	4	0	4	-1.24468	-1.24468	0	-0.971216	-0.971216	0	0.955556	0.955556	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.404444	10	10	10	0	10	0.638979	0.638979	0	2.35082	2.35082	0	4.04444	4.04444	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	1	1	1	0	1	0.819796	0.819796	0	0.818008	0.818008	0	0.466667	0.466667	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.366667	8	8	8	0	8	0.160876	0.160876	0	1.49186	1.49186	0	2.93333	2.93333	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	-1.16394	-1.16394	0	0.4	0.4	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.342222	5	5	5	0	5	-0.12777	-0.12777	0	0.251449	0.251449	0	1.71111	1.71111	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	1	1	1	0	1	0.819796	0.819796	0	0.818008	0.818008	0	0.466667	0.466667	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
