K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.419048	7	7	7	0	7	0.785588	0.785588	0	3.03157	3.03157	0	2.93333	2.93333	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.426263	11	11	11	0	11	0.921906	0.921906	0	2.78908	2.78908	0	4.68889	4.68889	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.251852	3	3	3	0	3	-1.03446	-1.03446	0	-1.46598	-1.46598	0	0.755556	0.755556	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.302778	8	8	8	0	8	-0.618902	-0.618902	0	-0.166937	-0.166937	0	2.42222	2.42222	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.377778	3	3	3	0	3	0.24725	0.24725	0	0.722822	0.722822	0	1.13333	1.13333	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.27619	7	7	7	0	7	-0.926182	-0.926182	0	0.517373	0.517373	0	1.93333	1.93333	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	2	2	2	0	2	0.0188908	0.0188908	0	1.52347	1.52347	0	0.711111	0.711111	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.437037	3	3	3	0	3	0.850406	0.850406	0	1.02067	1.02067	0	1.31111	1.31111	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.225926	6	6	6	0	6	-1.49289	-1.49289	0	-2.92289	-2.92289	0	1.35556	1.35556	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.4	5	5	5	0	5	0.527643	0.527643	0	-0.602192	-0.602192	0	2	2	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.45	8	8	8	0	8	1.17798	1.17798	0	0.750084	0.750084	0	3.6	3.6	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.386667	10	10	10	0	10	0.416061	0.416061	0	0.921959	0.921959	0	3.86667	3.86667	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.392593	6	6	6	0	6	0.457684	0.457684	0	-0.230334	-0.230334	0	2.35556	2.35556	0	
