K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	2	2	2	0	2	1.64145	1.64145	0	2.33782	2.33782	0	1.06667	1.06667	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.535354	11	11	11	0	11	2.30382	2.30382	0	3.52674	3.52674	0	5.88889	5.88889	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.50303	11	11	11	0	11	1.89437	1.89437	0	3.31724	3.31724	0	5.53333	5.53333	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.337037	6	6	6	0	6	-0.192506	-0.192506	0	-1.80346	-1.80346	0	2.02222	2.02222	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.333333	2	2	2	0	2	-0.183929	-0.183929	0	-0.27178	-0.27178	0	0.666667	0.666667	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.455556	2	2	2	0	2	0.931582	0.931582	0	0.299793	0.299793	0	0.911111	0.911111	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.444444	2	2	2	0	2	0.830172	0.830172	0	0.253363	0.253363	0	0.888889	0.888889	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	2	2	2	0	2	0.0188908	0.0188908	0	1.52347	1.52347	0	0.711111	0.711111	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.297778	5	5	5	0	5	-0.631934	-0.631934	0	-1.28426	-1.28426	0	1.48889	1.48889	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	1	1	1	0	1	1.30268	1.30268	0	1.02917	1.02917	0	0.533333	0.533333	0	
2	0	2	0	10	0.555556	0.0745356	0.555556	0	0.555556	3	3	3	0	3	2.05672	2.05672	0	3.45142	3.45142	0	1.66667	1.66667	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.316667	4	4	4	0	4	-0.399905	-0.399905	0	0.948883	0.948883	0	1.26667	1.26667	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	3	3	3	0	3	1.15198	1.15198	0	2.98462	2.98462	0	1.4	1.4	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.463889	8	8	8	0	8	1.34749	1.34749	0	2.10912	2.10912	0	3.71111	3.71111	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.333333	2	2	2	0	2	-0.183929	-0.183929	0	-0.27178	-0.27178	0	0.666667	0.666667	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.407407	6	6	6	0	6	0.631068	0.631068	0	-0.146182	-0.146182	0	2.44444	2.44444	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.4	4	4	4	0	4	0.505207	0.505207	0	1.45344	1.45344	0	1.6	1.6	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.524868	21	21	21	0	21	2.28592	2.28592	0	8.57273	8.57273	0	11.0222	11.0222	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	-1.1758	-1.1758	0	0.866667	0.866667	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.533333	4	4	4	0	4	1.95339	1.95339	0	2.14576	2.14576	0	2.13333	2.13333	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	2	2	2	0	2	1.64145	1.64145	0	2.33782	2.33782	0	1.06667	1.06667	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.418519	12	12	12	0	12	0.830965	0.830965	0	1.58007	1.58007	0	5.02222	5.02222	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.457778	5	5	5	0	5	1.18306	1.18306	0	-0.295521	-0.295521	0	2.28889	2.28889	0	
6	0	6	0	10	0.911111	0.0620394	0.911111	0	0.363889	8	8	8	0	8	0.126972	0.126972	0	-0.888239	-0.888239	0	2.91111	2.91111	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.333333	2	2	2	0	2	-0.183929	-0.183929	0	-0.27178	-0.27178	0	0.666667	0.666667	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.355556	3	3	3	0	3	0.0210669	0.0210669	0	0.602811	0.602811	0	1.06667	1.06667	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.355556	7	7	7	0	7	0.0248011	0.0248011	0	2.55694	2.55694	0	2.48889	2.48889	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	1	1	1	0	1	0.014992	0.014992	0	0.4167	0.4167	0	0.355556	0.355556	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.391111	5	5	5	0	5	0.426811	0.426811	0	0.542604	0.542604	0	1.95556	1.95556	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	4	4	4	0	4	0.0224807	0.0224807	0	3.02501	3.02501	0	1.42222	1.42222	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	4	4	4	0	4	1.95339	1.95339	0	4.1923	4.1923	0	2.13333	2.13333	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.42963	3	3	3	0	3	0.775012	0.775012	0	0.984981	0.984981	0	1.28889	1.28889	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.303704	3	3	3	0	3	-0.506695	-0.506695	0	-1.07085	-1.07085	0	0.911111	0.911111	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.5	10	10	10	0	10	1.83717	1.83717	0	4.87665	4.87665	0	5	5	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.377778	8	8	8	0	8	0.296489	0.296489	0	3.12216	3.12216	0	3.02222	3.02222	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	5	5	5	0	5	0.0234791	0.0234791	0	3.63567	3.63567	0	1.77778	1.77778	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	2	2	2	0	2	1.64145	1.64145	0	2.33782	2.33782	0	1.06667	1.06667	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.37037	6	6	6	0	6	0.197608	0.197608	0	-0.36263	-0.36263	0	2.22222	2.22222	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	4	4	4	0	4	0.143162	0.143162	0	1.26028	1.26028	0	1.46667	1.46667	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	4	4	4	0	4	1.2293	1.2293	0	3.7793	3.7793	0	1.86667	1.86667	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.42963	6	6	6	0	6	0.891144	0.891144	0	1.17603	1.17603	0	2.57778	2.57778	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
